rank,grade,usernme,uploads,subscribers,top_views
3865,B ,MoreTDM,197,3.24M,563412218
3866,B- ,Mundo Canibal,234,3.24M,149375743
3867,B+ ,""">SMii7Y",786,3.24M,803436219
3868,B+ ,vAustinL,36,3.24M,264865868
3869,A- ,حِرف إبداعية للفتي…,1428,3.24M,664051050
3870,A- ,Artkala,1219,3.24M,555628748
3871,A- ,EBS 키즈,16216,3.24M,3525449950
3872,A ,KidsCamp - Education,526,3.24M,1894758046
3873,A- ,Jaeguchi,377,3.24M,2040219410
3874,B ,Node,1259,3.24M,783426266
3875,B+ ,XXL,1622,3.24M,801860224
3876,B ,Baap Of Bakchod,224,3.24M,449694514
3877,C+ ,Canciones infantiles de María,23,3.23M,98020
3878,A ,Kritter Klub,1265,3.23M,1061980531
3879,A- ,BASS BOOSTED SONGS,459,3.23M,574722762
3880,B- ,Fer0m0nas,3903,3.23M,593546698
3881,B+ ,Goularte,843,3.23M,479205482
3882,B+ ,ArteMaster,292,3.23M,298799292
3883,B- ,HolaSoyGerman2,11,3.23M,40620587
3884,A ,Independent Television,48141,3.23M,910121073
3885,B ,Sherin Amara,117,3.23M,191584646
3886,B+ ,Freememeskids,65,3.23M,534047571
3887,B ,Burak Oyunda,2126,3.23M,1097853728
3888,B ,Amber Scholl,376,3.23M,401605421
3889,D- ,TheCGBros,4380,3.23M,1089195810
3890,A ,WhenGamersFail ► Lyon,3795,3.23M,3427730472
3891,A- ,AndrewSchrock,2855,3.23M,2344986616
3892,B+ ,AngryJoeShow,1807,3.23M,1149019193
3893,B+ ,這群人TGOP,210,3.23M,795403007
3894,B+ ,NEW LIFE,339,3.23M,357202455
3895,A- ,MY TOYS PINK,1144,3.23M,1799944269
3896,B+ ,Farming Leader,636,3.23M,259605350
3897,B+ ,Jess and Gabriel,271,3.23M,363424538
3898,B+ ,Scotty Kilmer,2051,3.23M,1006661156
3899,A- ,Step Records,2323,3.23M,3074244369
3900,B+ ,Студия Квартал 95 Onl…,3432,3.23M,1716009952
3901,B+ ,Typhoon Cinema,775,3.23M,1135101863
3902,B ,LoginfluenceKids,941,3.22M,899938633
3903,B+ ,CaRtOoNz,1963,3.22M,742616679
3904,B+ ,Taz Network,937,3.22M,1825201473
3905,B+ ,Jester,475,3.22M,596396578
3906,A- ,La Adictiva,115,3.22M,1421070273
3907,A- ,WINNER,378,3.22M,952986035
3908,B ,Nadeshot,1570,3.22M,526546865
3909,B+ ,Lolywood,309,3.22M,931731525
3910,B+ ,Max Maximov,637,3.22M,1032866683
3911,A- ,CookingShooking,547,3.22M,375085487
3912,A- ,DANIEL BOY,314,3.22M,1343666064
3913,B+ ,Freshtorge,645,3.22M,1190807043
3914,B ,It's Okay To Be Smart,313,3.22M,271149418
3915,B+ ,jackfrags,2534,3.22M,1071663207
3916,C+ ,Cali y El Dandee,2,3.22M,111752
3917,A- ,Junior Squad - Nursery Rhymes & Ki…,356,3.22M,881638900
3918,B+ ,Joana Ceddia,99,3.22M,242246450
3919,B ,Deimoss,1435,3.22M,760198848
3920,B+ ,Lenarr Young,213,3.22M,331127715
3921,A- ,Random Encounters,794,3.22M,1185090072
3922,B+ ,LOUD Babi,311,3.21M,137156332
3923,B+ ,Londokampung,262,3.21M,276998938
3924,B ,Tukomi,125,3.21M,276158339
3925,B+ ,Deck,7660,3.21M,2017386188
3926,A- ,رحلة العقل,182,3.21M,181534081
3927,B+ ,Fancy Vlogs By Gab,347,3.21M,404577595
3928,B ,Landon,1346,3.21M,365487457
3929,B+ ,Living Big In A Tiny House,225,3.21M,410389508
3930,B+ ,Mini Gear,376,3.21M,815072088
3931,A- ,LaSalle,3388,3.21M,1825534890
3932,B ,SlimeMaker,13,3.21M,401893348
3933, ,Popular on YouTube - United Kingdom,--,3.21M,-- 
3934,B+ ,Vivziepop,220,3.21M,287297300
3935,B ,WindyGirkTV,1203,3.21M,421953759
3936,A- ,Brianna,171,3.21M,596933723
3937,B+ ,Moo,1150,3.21M,442742445
3938,A- ,J97,7,3.21M,130110159
3939,A- ,Phim Hay Điện Ảnh,5012,3.21M,1533130491
3940,A- ,Marcos e Belutti,184,3.21M,1349581386
3941,B ,Gaborever,93,3.21M,177937589
3942,A- ,SEPL VIDEO,10662,3.21M,1022623635
3943,B+ ,MercifulServant,1056,3.21M,554324833
3944,B ,ItsOsoTV,72,3.2M,117539082
3945,A- ,Disney Junior Brasil,1266,3.2M,1260540056
3946,B- ,Ricky Dillon,505,3.2M,416179873
3947,A- ,Kitchen with Amna,931,3.2M,378524914
3948,B- ,Rakamakafo,96,3.2M,409295379
3949,A- ,Shemaroo RK Films,855,3.2M,1469409321
3950,B+ ,Examपुर,17027,3.2M,380893184
3951,B+ ,Sorriso Maroto,445,3.2M,1001960136
3952,B+ ,Eliot Channel Mx,1349,3.2M,617644775
3953,B+ ,Chuns Chuns,736,3.2M,1019221166
3954,B ,Crypt TV,449,3.2M,404846303
3955,B ,LShokeen Films,207,3.2M,611754799
3956,D- ,SD Entertainment Movies,81,3.2M,624719183
3957,B+ ,HAIKAISS,228,3.2M,565551885
3958,B+ ,M8N / مستقعدين,246,3.2M,205878178
3959,A- ,D-Gray - ديكراي,214,3.19M,328948595
3960,A- ,Santa Fe Klan Official,121,3.19M,656830040
3961,A- ,سيد SAYED I,603,3.19M,353071028
3962,B+ ,CarlosVivesVEVO,104,3.19M,3795334896
3963,B ,Dudesons,485,3.19M,554761292
3964,B+ ,SrRed,215,3.19M,384809490
3965,A ,Tones And I,26,3.19M,1068789405
3966,A- ,ThaiPBS,66287,3.19M,1149101497
3967,B ,Tiffany Alvord,428,3.19M,695097582
3968,B ,Vikkstar123HD,4036,3.19M,1060873009
3969,B ,Xcrosz,1630,3.19M,492604356
3970,B ,Felix von der Laden,3638,3.19M,1342975695
3971,A- ,GameMixTreize,5063,3.19M,1399448846
3972,A- ,Geetha Arts,2056,3.19M,1659470786
3973,B ,GlitterForever17,512,3.19M,431678810
3974,B+ ,กิต งายย,537,3.19M,394390383
3975,B+ ,MAX HD,203,3.19M,294690897
3976,B ,Permana Cuy,1165,3.19M,263225015
3977,D- ,Tiger Productions,464,3.19M,1233173936
3978,A- ,BUDI01 GAMING,109,3.18M,187976574
3979,B ,BuzzFeedViolet,479,3.18M,1464472598
3980,A- ,Las Estrellas,19006,3.18M,1449481396
3981,A- ,WildBrain em Português,1899,3.18M,1186275492
3982,A- ,MariahCareyVEVO,189,3.18M,4313542533
3983,A- ,NDJ Film Official,1722,3.18M,1306086677
3984,B+ ,P2istheName,476,3.18M,481353713
3985,C+ ,Cher Lloyd,68,3.18M,7478883
3986,B ,DJ.DREAMERTH,851,3.18M,315191822
3987,A- ,Alex Paúl,312,3.18M,263996816
3988,B- ,ДЖАРАХОВ,198,3.18M,248110686
3989,D- ,JoyJoy Lika,388,3.18M,816723323
3990,B+ ,gRUNgerOFICIAL,1074,3.18M,659735478
3991,B+ ,Ikram Bellanova,314,3.18M,385189042
3992,B+ ,MAQ,544,3.18M,440811631
3993,B+ ,Sunnyside en Español - Canciones …,240,3.18M,257907496
3994,B ,Luxy Hair,553,3.18M,480916306
3995,B ,Маша Маева,267,3.18M,343754922
3996,B ,TheSamTsui,259,3.18M,420694902
3997,B+ ,Cegou,580,3.18M,501653608
3998,A- ,Leah Ashe,1166,3.18M,781531248
3999,B+ ,Alpha Facts,343,3.17M,319742999
4000,A- ,IDJVideos.TV,974,3.17M,4885581805
4001,A- ,Kids First - Español Latino,751,3.17M,811175880
4002,B+ ,Kathy Castricini,1319,3.17M,474341727
4003,B+ ,UTKARSH CLASSES JODHPUR,3968,3.17M,333037489
4004,D- ,Lucas,447,3.17M,307093510
4005,A- ,The Graham Norton Show,1018,3.17M,1886693686
4006,A- ,Attessia TV,14371,3.17M,1628933852
4007,A- ,Super JoJo - Canciones Infantiles,89,3.17M,696332115
4008,A- ,HarryStylesVEVO,33,3.17M,1225173961
4009,B- ,Camila,114,3.17M,35404485
4010,B+ ,CD Choice,1121,3.17M,843711750
4011,B ,MS TV,612,3.17M,318533337
4012,B+ ,My Chemical Romance,171,3.17M,1168273648
4013,B ,Nando Moura,1406,3.17M,568084337
4014,C+ ,Nick Jonas,20,3.17M,2852438
4015,B+ ,OfficialWhiteMusic,884,3.17M,2512801386
4016,B ,Shaaanxo,1507,3.17M,448407244
4017,B ,Ana Vbon,179,3.17M,171399245
4018,B+ ,ThiagoIUTU,40,3.17M,232256021
4019,B+ ,Juke Dock,376,3.17M,881792548
4020,B- ,Hannah Channel,35,3.16M,57615335
4021,B ,Sean Paul,49,3.16M,36109302
4022,A- ,Poll Production,2355,3.16M,4501853400
4023,B+ ,B20baOfficiel,131,3.16M,1500263562
4024,D- ,PAP HUMNOY,173,3.16M,328506516
4025,B ,Lionel Ferro,172,3.16M,234108769
4026,B+ ,guitarraviva,833,3.16M,485269097
4027,B- ,howtoPRANKitup,320,3.16M,595882747
4028,A- ,Nek Music Tv,1084,3.16M,2934988233
4029,B- ,Breaking News 24,275,3.16M,14811000
4030,A- ,Thanthi TV,101605,3.16M,1247690891
4031,B+ ,AlishaMarieVlogs,884,3.16M,547083321
4032,B ,My Primary Solution,1129,3.15M,150063090
4033,B ,Biel,38,3.15M,527641858
4034,B+ ,Dota Watafak,819,3.15M,1093285495
4035,B+ ,Everleigh Rose,105,3.15M,461550829
4036,B+ ,Nat Geo WILD,3122,3.15M,956001860
4037,A- ,Alex Rose,55,3.15M,1344705130
4038,A- ,UzbekFilmsHD,2818,3.15M,1315446899
4039,B+ ,Die Antwoord,120,3.15M,909170331
4040,A- ,Meryem Can,319,3.15M,538422788
4041,A- ,Cartoon Network Россия,1834,3.15M,1435008414
4042,B+ ,Crazy XYZ,399,3.15M,471020423
4043,B+ ,Hollow,4282,3.15M,879802418
4044,B+ ,The snack,378,3.15M,500920185
4045,B ,MyCupcakeAddiction,461,3.15M,446343751
4046,B ,Danielle Diz,257,3.15M,238077680
4047,B ,Technical Baba,1282,3.15M,107309152
4048,B- ,Kid's Games,45,3.14M,1347511
4049,B+ ,Doctor Squish,419,3.14M,793900563
4050,B+ ,Гараж 54,617,3.14M,650974884
4051,A- ,CalibreCincuentaVEVO,128,3.14M,3174815564
4052,B+ ,Caseirices Kids,319,3.14M,562684902
4053,B ,EyshElly - ايش اللي,125,3.14M,402106343
4054,B+ ,Alex Casas,192,3.14M,142165476
4055,B+ ,Cat Juguetes,81,3.14M,901612161
4056,B+ ,BANG ALEX,711,3.14M,539475432
4057,A- ,AnAn ToysReview TV,206,3.14M,2474292140
4058,B ,Marina Inspira,331,3.14M,249062364
4059,B+ ,NellyVEVO,36,3.14M,2371336722
4060,B+ ,Sparta356,286,3.14M,166249190
4061,B+ ,SmellyBellyTV,1358,3.14M,1295283491
4062,A- ,Aventura,95,3.14M,2611820930
4063,B+ ,Dorkly,814,3.14M,1545851859
4064,A- ,Lauv,123,3.14M,909466369
4065,B+ ,LOUD Coringa,350,3.14M,147536692
4066,B+ ,Noisey,1903,3.14M,1139323430
4067,B+ ,Carl & Jinger,446,3.14M,847058990
4068,B+ ,G Series Bangla Movies,389,3.14M,949387686
4069, ,Lacrim,--,3.14M,-- 
4070,A- ,Sr Pelo,165,3.13M,571640866
4071,A- ,Toys and Fun,1557,3.13M,2380020694
4072,B+ ,Utopia Show,185,3.13M,330900403
4073,B+ ,BlackMVEVO,129,3.13M,1534252401
4074,A- ,ArcadeGaming,749,3.13M,1015112117
4075,B+ ,MediaPro Music,1317,3.13M,2434925754
4076,B+ ,TRAP MUSIC NOW,1795,3.13M,865396859
4077,B ,Babili TV Türkçe,37,3.13M,862306963
4078,B ,Ally Law,204,3.13M,370905246
4079,B ,Doble G,334,3.13M,459925521
4080,A- ,Rehaan Records,90,3.13M,1001960368
4081,B+ ,Jack Ü,36,3.13M,1564931503
4082,B ,YTITTY,372,3.13M,837055892
4083,B ,iDubbbzTV2,51,3.12M,245468176
4084,B ,Lais Oliveira,244,3.12M,187484982
4085,A- ,Action Tadka India,1133,3.12M,1085480153
4086,B+ ,TAWHID AFRIDI,147,3.12M,249674058
4087,B ,Паша Пэл,113,3.12M,284885294
4088,B+ ,BT21,126,3.12M,176192141
4089,A ,JTBC Drama,17707,3.12M,2823447210
4090,B- ,MAGIC!,32,3.12M,28647052
4091,B ,تكسلر | Txlir,446,3.12M,359686026
4092,A- ,Fred Lammie,351,3.12M,708964506
4093,A ,Letupita725HD★,2253,3.12M,4556754263
4094,B+ ,N.E Let's Eat,751,3.12M,868941398
4095,B ,Roy Purdy,83,3.11M,202640890
4096,B ,Julia Doorman Cabelos de Rainha,676,3.11M,209930681
4097,B+ ,Shabab Alqithara | شباب الق…,975,3.11M,985967744
4098,B ,SoftpomzChannel,439,3.11M,479773753
4099,B ,AMOR ETERNO,858,3.11M,599733918
4100,B ,Tacielo,49,3.11M,129190487
4101,B+ ,Strictly Dumpling,457,3.11M,584015512
4102,B+ ,ПРИЯТНЫЙ ИЛЬДАР,460,3.11M,501553591
4103,A- ,KinoCheck International,3044,3.11M,2239518997
4104,B ,Gona89,4584,3.11M,1030585490
4105,A- ,Booba - Cartoon for kids,152,3.11M,1676527262
4106,B+ ,Archivos Miedo,549,3.11M,247443471
4107,B+ ,bestdressed,197,3.11M,208952975
4108,B+ ,Magic Music,480,3.11M,479664438
4109,A- ,rewinside,4188,3.11M,1691039792
4110,B ,Séan Garnier,329,3.11M,277786951
4111,B+ ,Indira Kalistha,724,3.11M,393881534
4112,B+ ,The Ohana Adventure,1233,3.11M,957605193
4113,B ,Chamatkari Totke,1235,3.11M,281583984
4114,B+ ,MrStiven Tc,907,3.11M,333565021
4115,B ,Xavi ABCKids,103,3.1M,496745538
4116,B ,Learn English with Emma [engVid],170,3.1M,165371278
4117,B ,Camarroket,22,3.1M,70774782
4118,A- ,Unus Annus,174,3.1M,351652554
4119,B+ ,Dr. Agustin Landivar,379,3.1M,194440268
4120,A- ,YOUNGOHM,25,3.1M,924000487
4121,A- ,TapGameplay,11589,3.1M,1713714362
4122,A- ,Theo comanda,25,3.1M,249420882
4123,A ,ميلاد يوسف Milad youssef,1628,3.1M,2802079917
4124,A- ,CD CHOICE Drama,1112,3.1M,706085052
4125,A ,CWE,2853,3.1M,1011123973
4126,B ,JStuStudios,285,3.1M,512391431
4127,B+ ,Picky Picks,161,3.1M,237504737
4128,B+ ,Boldsky,16140,3.1M,625960070
4129,B ,Raftaar,34,3.1M,271188912
4130,B+ ,Banheiristas,680,3.1M,612518026
4131,A- ,عائلة رياض,948,3.1M,2615885534
4132,A- ,superbowserlogan,80,3.1M,673291086
4133,A- ,เซิ้ง MUSiC,96,3.1M,1857750303
4134,B+ ,Calon Sarjana,331,3.09M,76828018
4135,A ,BabyBus Arabic TV - أغاني أ�…,219,3.09M,999568301
4136,B+ ,Mumbiker Nikhil,1084,3.09M,715517812
4137,B+ ,Bebe Milo,1665,3.09M,1084774179
4138,B+ ,Kidd Keo,71,3.09M,752452452
4139,A- ,RON GAMING,704,3.09M,691936471
4140,A- ,CBR,1802,3.09M,1032492812
4141,B ,Enjoykin,46,3.09M,549961508
4142,A- ,Rajasthani Chamak Music,187,3.09M,823123694
4143,B ,Jacob Sartorius,46,3.09M,353892752
4144,A- ,NEFFEX,203,3.09M,745706932
4145,A- ,Pamela Reif,43,3.09M,257930587
4146,B+ ,تلفاز١١,249,3.09M,458980262
4147,A- ,Super Siah,404,3.08M,1077423072
4148,B+ ,Rick Marin,1564,3.08M,495374159
4149,B+ ,Jaaz Multimedia,522,3.08M,1059802015
4150,A ,Kanak News,88894,3.08M,1654918207
4151,B+ ,Moviebox Record Label,3370,3.08M,1303420012
4152,B ,Стася Мар,282,3.08M,489717537
4153,B+ ,TIvsTIP,113,3.08M,910293813
4154,A- ,Universal Pictures,943,3.08M,2066220405
4155,B+ ,Little Kelly Minecraft,2127,3.08M,1700944431
4156,A- ,SQUEEZIE GAMING,212,3.08M,606851090
4157,B+ ,Indonesia Lawyers Club,2391,3.08M,840941308
4158,B ,Clevver Style,2486,3.08M,977113281
4159,B+ ,ВЕРЬЁМИН - здоровь�…,1260,3.08M,412909403
4160,B ,Zoey FAM JAM,67,3.08M,891635640
4161,B ,La Fouine,156,3.08M,437732346
4162,B+ ,Rakanoo,1679,3.08M,859799417
4163,C+ ,My Superhero Rhymes,5,3.08M,121920
4164,B+ ,VIP Records,801,3.08M,818310906
4165,B ,Doja Cat,9,3.08M,76459936
4166,A ,SBS TV동물농장x애니멀봐,2168,3.07M,2439042648
4167,A- ,Twins & Toys,145,3.07M,1630591058
4168,A- ,Milana FamilyShow,190,3.07M,905481952
4169,B ,Mundo da Menina,595,3.07M,584054408
4170,B+ ,P 4 Pakao,453,3.07M,840804303
4171,A- ,KygoOfficialVEVO,62,3.07M,2861281983
4172,B+ ,하루한끼 one meal a day,100,3.07M,233027373
4173,A- ,Jungle Beat - Munki and Trunk,243,3.07M,1230387862
4174,B+ ,TOPLINE Music Official,808,3.07M,1783293846
4175,A- ,My Story Animated,380,3.07M,999316952
4176,A- ,Beto Sierra,1059,3.07M,1328011582
4177,B+ ,Esttik,360,3.07M,315700259
4178,B+ ,FaZe Sway,395,3.07M,237734540
4179,B ,Мирби,50,3.07M,227493301
4180,B ,Tina Yong,394,3.07M,366237172
4181,B ,Davy Jones,907,3.07M,572428742
4182,A- ,NTV Natok,2384,3.07M,774818370
4183,B ,Rob Gavagan,543,3.07M,542939525
4184,B+ ,theShow,1046,3.07M,1094300302
4185,A- ,Milena & Stesha Kids TV,30,3.07M,410762121
4186,B ,Sarpmitra Akash Jadhav,541,3.06M,540583920
4187,B ,JokerIsME,109,3.06M,848326746
4188,B+ ,two sisters tube,365,3.06M,411312961
4189,B+ ,Rozzah,137,3.06M,151211853
4190,B+ ,Sonotek Digital,1045,3.06M,463531600
4191,B ,Chris Sails,118,3.06M,36708531
4192,B+ ,Cristiano Araújo,64,3.06M,1343056969
4193,B ,Hindi Tutorials,957,3.06M,128156789
4194,B+ ,Tech FC,678,3.06M,263798194
4195,A- ,Skorpion Gamer,1020,3.06M,420975063
4196,B+ ,PPTV HD 36,50711,3.06M,1065884856
4197,A ,Furious Jumper,3619,3.06M,1969287890
4198,B+ ,Tech Insider,3687,3.06M,1021775988
4199,B+ ,Disney Studios LA,945,3.06M,1803504673
4200,A- ,acdcVEVO,158,3.06M,4207561657
4201,B- ,La Arrolladora Banda El Limón,106,3.06M,25144593
4202,B+ ,圧倒的不審者の極み!,68,3.06M,466334616
4203,B ,To Catch a Cheater,187,3.06M,531255559
4204,B+ ,Origins Explained,793,3.06M,680760831
4205,A- ,Mona Elshazly,11172,3.06M,908829092
4206,B+ ,Colleen Vlogs,689,3.06M,397013534
4207,B+ ,The HunGama Films - Ab Mauj Legi D…,328,3.06M,486222874
4208,B+ ,Cooking tree 쿠킹트리,886,3.06M,228562303
4209,B ,Troll Punjabi,35,3.06M,287327375
4210,B ,UberHaxorNova,5951,3.06M,1967874982
4211,A- ,Warner Music México,1559,3.06M,4010965109
4212,A- ,미니특공대TV,768,3.06M,1509255304
4213,A ,Distrito Comedia,719,3.06M,1111054198
4214,B ,Nego do Borel,12,3.05M,56996988
4215,D- ,Christian Merck Grey,594,3.05M,435923490
4216,A- ,5-Minute DECOR,749,3.05M,498359642
4217,B+ ,GTHchannel,1380,3.05M,1286206174
4218,B ,heyitspriscila,294,3.05M,198041129
4219,B+ ,ИККЕРО,120,3.05M,594001976
4220,A- ,TheDooo,212,3.05M,346899700
4221,B+ ,MakiGames,1014,3.05M,444609236
4222,B+ ,AntVenom,2422,3.05M,914427960
4223,A- ,Happy Bachpan,284,3.05M,765046450
4224,B+ ,HollywoodLife,8355,3.05M,1684509021
4225,B ,Kelly Clarkson,190,3.05M,141428067
4226,B ,markcrilley,759,3.05M,394011720
4227,B ,italo matheus,5400,3.05M,436518965
4228,B+ ,Panlasang Pinoy,894,3.05M,523244220
4229,B ,Baby Ariel,204,3.05M,302253099
4230,A- ,Brincando com Yasmin Verissimo,33,3.04M,826155765
4231,B+ ,이지금 [IU Official],87,3.04M,122027516
4232,D- ,Jelai Andres,65,3.04M,100629307
4233,B+ ,Asia's Got Talent,778,3.04M,822745842
4234,B ,Kan Atthakorn,327,3.04M,589924924
4235,B+ ,Kowiy,529,3.04M,589016397
4236,A- ,VideoYoum7 | قناة اليوم �…,110203,3.04M,1278635900
4237,B ,Priscilla Alcantara,242,3.04M,120200758
4238,B+ ,RusGameTactics,7037,3.04M,1205908227
4239,B+ ,Hana Callista,277,3.04M,1085883748
4240,A- ,WildBrain - Cartoons for Children,2627,3.04M,1264324798
4241,D- ,Wass Freestyle,504,3.04M,583027089
4242,B+ ,Andrés Navy,446,3.04M,636795624
4243,B ,Life Noggin,404,3.04M,471190856
4244,B ,Lip Sync Battle,466,3.04M,460152480
4245,B ,nathan fingerstyle,365,3.04M,469596918
4246,B+ ,MrRevillz,2467,3.04M,1734310629
4247,B ,Descomplica,3161,3.04M,210668405
4248,B ,Dumb Genius,398,3.04M,270678408
4249,A- ,Mac Miller,174,3.04M,1831336772
4250,B ,BhandarTV,592,3.03M,286233456
4251,A- ,Frame Order,238,3.03M,550295626
4252,B ,Musculos e Corpo Definido,658,3.03M,296182989
4253,B ,Isadora Pompeo,98,3.03M,115940969
4254,B ,AustinMVEVO,81,3.03M,832262654
4255,B ,УСПЕШНАЯ ГРУППА,130,3.03M,495783718
4256,B ,DeStorm Power,422,3.03M,429581763
4257,A- ,Discovery UK,2362,3.03M,1041495992
4258,B+ ,HOT 97,7683,3.03M,1342060226
4259,B ,The Best Satisfying,650,3.03M,190016142
4260,B+ ,OG-ANIC,31,3.03M,894090959
4261,A- ,Bengali Movies - Angel Digital,9504,3.03M,987821120
4262,A- ,Cantando Aprendo a Hablar,323,3.03M,2006392563
4263,B+ ,CiccioGamer89,6253,3.03M,1278985167
4264,B+ ,Wefere,1285,3.03M,521034095
4265,B ,DanAndPhilGAMES,278,3.03M,627046321
4266,A- ,Live Bhakti Sangeet,2858,3.03M,595202483
4267,B+ ,ONE OK ROCK,79,3.03M,965347327
4268,B+ ,YouANDi Games,1986,3.03M,875819979
4269,A ,THVL Phim,13683,3.03M,2832280836
4270,B+ ,mania japansong,1961,3.03M,1571937796
4271,A- ,Troom Troom FR,1320,3.03M,1307499695
4272,B+ ,WOS DS3,11,3.03M,299821263
4273,B ,LeFloid,924,3.02M,695283627
4274,B+ ,funBABE,1152,3.02M,438772251
4275,B ,BeFiT,1042,3.02M,268981962
4276,B ,WowShow,307,3.02M,997932334
4277,B+ ,Turma do Pagode,37,3.02M,26582901
4278,B ,maxmoefoe,149,3.02M,291805695
4279,A- ,はねまりチャンネルHane & …,1164,3.02M,1540397288
4280,B+ ,رحيق تيوب,2468,3.02M,384956048
4281,B+ ,Ridddle,221,3.02M,305882167
4282,A- ,Maşa İle Koca Ayı,291,3.02M,1210389165
4283,A- ,Luay,465,3.02M,270370352
4284,A- ,Business Insider,4842,3.02M,1102247268
4285,C+ ,Preto no Branco,15,3.02M,501854
4286,B+ ,Sherine,39,3.02M,678707956
4287,B ,mmmEnglish,178,3.02M,109504360
4288,B+ ,TheChildhoodLife Kids and Toys,1193,3.02M,1603232187
4289,B ,vicentefernandez,117,3.02M,474605156
4290,B+ ,Все буде добре,9086,3.02M,833248820
4291,B+ ,webtekno,1177,3.02M,744845639
4292,B+ ,Black Sheep,716,3.02M,469686832
4293,A- ,Natkhat TV Hindi Tales & Rhymes,206,3.01M,1062294431
4294,A ,Al Rojo Vivo,34284,3.01M,1555297891
4295,B+ ,Kids TV Español Latino - Cancione…,855,3.01M,781420607
4296,B+ ,Battle Universe,587,3.01M,905775234
4297,B+ ,Удивительные Факты,640,3.01M,712910204
4298,A- ,PES,68,3.01M,761472061
4299,A ,Kan & Aki's CHANNELかんあきチ…,1460,3.01M,6833071957
4300,A- ,TinoKidsTV,20,3.01M,366565701
4301,B- ,Andrea Russett,411,3.01M,260151770
4302,B ,ilvostrocaroDexter,1775,3.01M,1142710222
4303,B+ ,DJ Game Remix in Thailand,352,3.01M,623159162
4304, ,Popular on YouTube - Russia,--,3.01M,-- 
4305,B+ ,Danish Zehen,137,3.01M,148800848
4306,B+ ,Drishti IAS,2208,3.01M,224092507
4307,B+ ,Ananped,343,3M,354172732
4308,A- ,unknown boy varun,76,3M,643401710
4309,B+ ,BITAG OFFICIAL,8216,3M,1221718971
4310,A ,Oggy Hindi - हिन्दी,119,3M,987991872
4311,A ,FamousTubeFamily,593,3M,1772086261
4312,A- ,PEACHY,391,3M,1106904620
4313,A- ,Zee Music South,554,3M,1167665576
4314,B+ ,Naruciak,728,3M,560218569
4315,B ,Lil Perfect,342,3M,358495258
4316,B ,Putu Bahagiana - Kontrakankeras,618,3M,327595082
4317,A- ,FOX,10456,3M,2857643818
4318,B+ ,Lift and Cheat,168,3M,389553411
4319,B+ ,CartoonHooligans,105,3M,733317822
4320,B ,Mario Luna - NetKaizen,510,3M,213037923
4321,B+ ,RCSparks Studio,1581,3M,1576341119
4322,A- ,Entertainment Tonight,28820,3M,2672859056
4323,A- ,Jesser,829,3M,929753262
4324,B+ ,ixora,712,3M,450502918
4325,B ,Guru Randhawa,225,3M,185037912
4326,B+ ,Hemo king - الملك هيمو,462,3M,273059971
4327,A ,Россия 1,10027,2.99M,1258158122
4328,D- ,Curiouspanti,13,2.99M,33844
4329,A- ,スカイピース,1458,2.99M,1979852621
4330,B+ ,Noah Schnapp,17,2.99M,62208669
4331,A- ,Madame Récré FR,1584,2.99M,2473795783
4332,A- ,HalseyVEVO,156,2.99M,2538692547
4333,A- ,Kiwiz,1777,2.99M,459360934
4334,B+ ,Garena Free Fire Indonesia,815,2.99M,213698405
4335,B ,SHIFUJI'S MISSION PRAHAR,300,2.99M,186107654
4336,B+ ,Agassi Ching,207,2.99M,213632167
4337,B+ ,Ñengo Flow,114,2.99M,850747869
4338,B ,dakotaz,580,2.99M,273615177
4339,B ,HRC Hogar Natural Fitness,592,2.99M,114176591
4340,B ,FP do Trem Bala,559,2.99M,661544714
4341,B+ ,Guillaume Pley,2553,2.99M,899245246
4342,B ,Sprite Salaider,40,2.99M,117449658
4343,A- ,Survival Builder,142,2.99M,375516544
4344,A- ,NirvanaVEVO,106,2.99M,2868238250
4345,B+ ,Life of Boris,219,2.99M,386830547
4346,B+ ,Robin Schulz,264,2.99M,2330979307
4347,B ,SurpriseToys,65,2.99M,3435987526
4348,A- ,SUNDRANI,5574,2.99M,1854622301
4349,B+ ,Body Mania,1406,2.98M,653564547
4350,B+ ,Favio Apaza-MansOn,2349,2.98M,1733793709
4351,D- ,Primitive Technology KH,133,2.98M,744898168
4352,B+ ,DesiignerVEVO,33,2.98M,1113175709
4353,A- ,VYRLOriginals,73,2.98M,972018901
4354,A- ,El Adl Group,2475,2.98M,1484641443
4355,B ,Scotty Sire,538,2.98M,428671479
4356,A ,NBC News,23417,2.98M,1399968527
4357,A- ,TV9 Bharatvarsh,23564,2.98M,643752457
4358,A- ,Haqeeqat TV,3125,2.98M,776418261
4359,B ,Marcus & Martinus,245,2.98M,96170270
4360,A- ,BrandonKent Everything,630,2.98M,635821197
4361,B+ ,naarkw نار,1547,2.98M,1103245349
4362,A- ,Karina & Marina,262,2.98M,567705596
4363,B ,Dai Hernández,334,2.98M,335744308
4364,B+ ,Dobryak,101,2.98M,399552180
4365,A- ,Hekal Twins - هيكل توينز,114,2.98M,328412898
4366,C+ ,Tove Lo,30,2.98M,7873651
4367,A- ,WhatsUpMoms,822,2.98M,2191734537
4368,B+ ,The Mystica Land,323,2.97M,294312713
4369,B+ ,Smile family's,352,2.97M,252574897
4370,A- ,Ssoftoons Animation,142,2.97M,565379066
4371,B ,Mau y Ricky,47,2.97M,30329659
